filename,predictionType,SVMprediction,time,megapixels,id,color,bbox,area,perimeter
COLO_00301028_ERICACEAE_Vaccinium_myrtillus_H,SVM,Leaf,09-05-2019 02-46-28.318,2.94,9,[0.466 0.674 0.188],[101.5 645.5 135 67],6233.375,357.869
COLO_00301028_ERICACEAE_Vaccinium_myrtillus_H,SVM,Leaf,09-05-2019 02-46-28.481,2.94,10,[0.466 0.674 0.188],[146.5 743.5 70 131],6324.75,351.583
COLO_00301028_ERICACEAE_Vaccinium_myrtillus_H,SVM,Leaf,09-05-2019 02-46-28.690,2.94,11,[0.466 0.674 0.188],[232.5 722.5 66 119],5670.375,299.332
COLO_00301028_ERICACEAE_Vaccinium_myrtillus_H,SVM,Leaf_Partial,09-05-2019 02-46-28.860,2.94,12,[0 0.447 0.741],[278.5 589.5 177 152],12776.25,705.037
COLO_00301028_ERICACEAE_Vaccinium_myrtillus_H,SVM,Leaf_Clump,09-05-2019 02-46-29.321,2.94,14,[0.85 0.325 0.098],[365.5 298.5 788 801],219553.375,10073.963
COLO_00301028_ERICACEAE_Vaccinium_myrtillus_H,SVM,Leaf_Partial,09-05-2019 02-46-29.777,2.94,17,[0 0.447 0.741],[422.5 1117.5 129 150],8025.625,711.065
COLO_00301028_ERICACEAE_Vaccinium_myrtillus_H,SVM,Leaf,09-05-2019 02-46-30.660,2.94,23,[0.466 0.674 0.188],[580.5 580.5 50 51],1526.5,156.564
COLO_00301028_ERICACEAE_Vaccinium_myrtillus_H,SVM,Leaf,09-05-2019 02-46-31.404,2.94,28,[0.466 0.674 0.188],[771.5 289.5 35 70],1678.5,169.564
COLO_00301028_ERICACEAE_Vaccinium_myrtillus_H,SVM,Leaf,09-05-2019 02-46-32.298,2.94,34,[0.466 0.674 0.188],[1067.5 1041.5 85 44],2450.75,203.273
COLO_00301028_ERICACEAE_Vaccinium_myrtillus_H,SVM,Leaf,09-05-2019 02-46-32.602,2.94,36,[0.466 0.674 0.188],[1072.5 1126.5 102 51],3546.875,261.81
COLO_00301028_ERICACEAE_Vaccinium_myrtillus_H,SVM,Leaf,09-05-2019 02-46-32.749,2.94,37,[0.466 0.674 0.188],[1133.5 1171.5 88 37],1797,199.758
