filename,predictionType,SVMprediction,time,megapixels,id,color,bbox,area,perimeter
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-09.594,2.94,1,[0 0.447 0.741],[0.5 286.5 36 110],2109.25,291.539
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-10.045,2.94,4,[0 0.447 0.741],[6.5 746.5 29 74],1346.25,214.428
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-10.207,2.94,5,[0.466 0.674 0.188],[9.5 1207.5 26 53],861,144.439
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-10.830,2.94,9,[0.466 0.674 0.188],[93.5 695.5 147 159],10493,567.56
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-11.036,2.94,10,[0.466 0.674 0.188],[166.5 1610.5 84 71],3160.875,232.205
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-11.210,2.94,11,[0.466 0.674 0.188],[227.5 1753.5 61 68],2721,213.015
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-11.376,2.94,12,[0.466 0.674 0.188],[230.5 416.5 89 134],6346.75,373.987
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-11.530,2.94,13,[0 0.447 0.741],[247.5 693.5 67 68],2058.5,318.965
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-11.977,2.94,16,[0.466 0.674 0.188],[290.5 1639.5 74 60],2596.75,228.002
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-12.470,2.94,19,[0.466 0.674 0.188],[311.5 835.5 41 27],639.5,120.902
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-12.794,2.94,21,[0 0.447 0.741],[348.5 1503.5 116 115],2968,583.973
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-12.961,2.94,22,[0 0.447 0.741],[360.5 794.5 198 194],13804.5,1060.332
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-13.123,2.94,23,[0.466 0.674 0.188],[381.5 556.5 86 76],3252.75,283.768
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-15.097,2.94,36,[0 0.447 0.741],[513.5 1702.5 42 77],1647,305.401
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-15.554,2.94,39,[0 0.447 0.741],[547.5 1843.5 56 110],2131.625,277.392
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Clump,09-05-2019 02-46-16.475,2.94,45,[0.85 0.325 0.098],[616.5 608.5 336 340],24888,2020.691
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-16.782,2.94,47,[0.466 0.674 0.188],[688.5 263.5 119 102],7126.375,449.552
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-17.238,2.94,50,[0 0.447 0.741],[769.5 550.5 76 72],2583.125,306.254
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-18.023,2.94,55,[0 0.447 0.741],[845.5 469.5 190 110],8591.25,683.723
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-18.359,2.94,57,[0.466 0.674 0.188],[868.5 936.5 82 87],4913.125,324.589
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-18.527,2.94,58,[0.466 0.674 0.188],[869.5 183.5 129 194],12222.5,571.778
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-19.027,2.94,61,[0 0.447 0.741],[937.5 1290.5 68 59],2323.25,273.239
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-19.187,2.94,62,[0.466 0.674 0.188],[1015.5 1055.5 28 35],579.125,96.58
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-19.346,2.94,63,[0 0.447 0.741],[1051.5 1316.5 76 194],4447.5,515.241
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-19.508,2.94,64,[0 0.447 0.741],[1052.5 611.5 139 95],6363.875,480.682
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-19.963,2.94,67,[0 0.447 0.741],[1091.5 1208.5 92 61],3089.875,299.886
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf_Partial,09-05-2019 02-46-20.605,2.94,71,[0 0.447 0.741],[1133.5 1314.5 131 181],11310.625,689.321
COLO_00654012_MALVACEAE_Malva_neglecta_H,SVM,Leaf,09-05-2019 02-46-21.058,2.94,74,[0.466 0.674 0.188],[1200.5 1083.5 98 135],7443.875,442.722
