filename,predictionType,SVMprediction,time,megapixels,id,color,bbox,area,perimeter
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-04.589,6,4,[0 0.447 0.741],[159.5 1080.5 237 210],17414.125,1107.646
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-05.000,6,6,[0.466 0.674 0.188],[284.5 1655.5 99 76],3685.625,309.282
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-05.406,6,8,[0 0.447 0.741],[386.5 1297.5 76 65],3019.375,289.945
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-06.407,6,13,[0 0.447 0.741],[421.5 1846.5 194 185],16947.625,903.539
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-06.812,6,15,[0 0.447 0.741],[468.5 1081.5 87 106],4729,447.235
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-07.216,6,17,[0.466 0.674 0.188],[536.5 1502.5 36 77],1509.75,185.493
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-08.402,6,23,[0.466 0.674 0.188],[582.5 2041.5 48 51],1842.625,179.223
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-08.603,6,24,[0.466 0.674 0.188],[586.5 1546.5 59 82],2962,236.686
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-09.019,6,26,[0.466 0.674 0.188],[592.5 2268.5 75 69],3377.125,281.056
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-09.421,6,28,[0 0.447 0.741],[601.5 1757.5 130 225],13232.25,1228.401
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-10.463,6,33,[0 0.447 0.741],[679.5 2453.5 89 155],6409.25,488.712
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-11.851,6,40,[0 0.447 0.741],[767.5 2010.5 175 257],21415.625,1086.59
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-13.443,6,48,[0 0.447 0.741],[914.5 2109.5 94 83],2825,597.39
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-15.625,6,59,[0 0.447 0.741],[1129.5 1293.5 94 123],5193.625,546.687
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-16.050,6,61,[0 0.447 0.741],[1133.5 1111.5 199 211],16787.125,1512.15
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-16.268,6,62,[0 0.447 0.741],[1134.5 209.5 193 208],13427,1055.737
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-16.686,6,64,[0 0.447 0.741],[1136.5 417.5 148 121],7380.375,850.277
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-17.093,6,66,[0.466 0.674 0.188],[1145.5 671.5 80 33],1374.75,192.662
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-17.296,6,67,[0 0.447 0.741],[1152.5 2110.5 195 99],7113.5,800.348
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-17.495,6,68,[0.466 0.674 0.188],[1165.5 2045.5 47 59],1469.25,177.488
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-17.700,6,69,[0 0.447 0.741],[1169.5 1005.5 168 129],10938.75,606.108
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-18.491,6,73,[0.466 0.674 0.188],[1207.5 904.5 96 69],4386.25,274.141
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-18.887,6,75,[0.466 0.674 0.188],[1228.5 719.5 63 148],5614.625,341.996
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-19.317,6,77,[0 0.447 0.741],[1248.5 547.5 103 135],5931.625,678.406
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-20.722,6,84,[0 0.447 0.741],[1292.5 358.5 215 150],13425.875,958.476
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-21.520,6,88,[0 0.447 0.741],[1336.5 1974.5 106 180],8434.125,782.971
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-23.107,6,96,[0 0.447 0.741],[1390.5 996.5 96 124],6102.125,617.017
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-23.517,6,98,[0 0.447 0.741],[1417.5 588.5 126 119],5918.5,741.804
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-23.718,6,99,[0.466 0.674 0.188],[1417.5 1993.5 56 60],1325.5,182.946
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-24.128,6,101,[0 0.447 0.741],[1426.5 1307.5 103 107],5179.5,517.624
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-25.114,6,106,[0.466 0.674 0.188],[1524.5 2064.5 44 58],1296.375,177.711
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Clump,09-05-2019 02-45-25.555,6,108,[0.85 0.325 0.098],[1529.5 1018.5 355 391],47241,2464.831
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-26.356,6,112,[0 0.447 0.741],[1556.5 1962.5 144 69],4746.375,405.215
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-26.956,6,115,[0.466 0.674 0.188],[1571.5 1651.5 78 72],3063.25,280.624
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-27.164,6,116,[0.466 0.674 0.188],[1588.5 1574.5 76 68],2953.125,225.646
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-27.603,6,118,[0 0.447 0.741],[1600.5 426.5 184 190],14616.875,1091.702
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf,09-05-2019 02-45-28.638,6,123,[0.466 0.674 0.188],[1682.5 691.5 53 82],2774.125,239.059
COLO_01142751_Oleaceae_Forestiera_pubescens_H,SVM,Leaf_Partial,09-05-2019 02-45-29.244,6,126,[0 0.447 0.741],[1699.5 620.5 144 94],5555.125,515.167
