filename,predictionType,SVMprediction,time,megapixels,id,color,bbox,area,perimeter
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf_Clump,09-05-2019 02-47-24.034,24,1,[0.85 0.325 0.098],[366.5 996.5 1096 1441],581484.875,11330.664
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf_Clump,09-05-2019 02-47-24.695,24,2,[0.85 0.325 0.098],[510.5 2401.5 480 764],142709,3864.254
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf_Clump,09-05-2019 02-47-26.355,24,5,[0.85 0.325 0.098],[679.5 3816.5 736 731],242014.375,5013.008
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf,09-05-2019 02-47-26.925,24,6,[0.466 0.674 0.188],[698.5 4435.5 333 487],87738.125,1616.394
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf_Clump,09-05-2019 02-47-31.187,24,11,[0.85 0.325 0.098],[887.5 1283.5 2798 2150],1344293.125,19276.952
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf,09-05-2019 02-47-38.635,24,26,[0.466 0.674 0.188],[1083.5 2467.5 47 77],2160.75,195.831
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf,09-05-2019 02-47-40.118,24,29,[0.466 0.674 0.188],[1165.5 2773.5 133 209],15033.5,578.287
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf_Clump,09-05-2019 02-47-43.888,24,36,[0.85 0.325 0.098],[1406.5 3820.5 1116 931],364569.875,7793.345
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf,09-05-2019 02-47-48.848,24,46,[0.466 0.674 0.188],[1653.5 1723.5 115 47],3186.375,299.992
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf,09-05-2019 02-47-49.355,24,47,[0.466 0.674 0.188],[1697.5 4747.5 316 182],27567.25,976.689
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf_Partial,09-05-2019 02-47-51.813,24,52,[0 0.447 0.741],[1822.5 1697.5 209 57],5359.5,536.295
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf_Partial,09-05-2019 02-47-57.695,24,64,[0 0.447 0.741],[2323.5 1692.5 385 334],46041.5,1584.125
SWMT_SWMT01221_Vitaceae_Ampelopsis_arborea_H,SVM,Leaf,09-05-2019 02-48-00.146,24,69,[0.466 0.674 0.188],[2489.5 1939.5 158 138],14699.125,513.538
