filename,predictionType,SVMprediction,time,megapixels,id,color,bbox,area,perimeter
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf,09-05-2019 02-49-02.735,24,1,[0.466 0.674 0.188],[272.5 2009.5 1028 235],129365.875,2578.328
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Clump,09-05-2019 02-49-03.977,24,2,[0.85 0.325 0.098],[364.5 2109.5 1526 1627],791758.875,15455.335
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Clump,09-05-2019 02-49-06.308,24,6,[0.85 0.325 0.098],[476.5 373.5 1188 896],319115.5,6077.182
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Partial,09-05-2019 02-49-06.830,24,7,[0 0.447 0.741],[506.5 5984.5 395 16],2462.75,826.604
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Clump,09-05-2019 02-49-09.993,24,13,[0.85 0.325 0.098],[734.5 1154.5 756 926],322917.25,6156.378
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Clump,09-05-2019 02-49-16.698,24,26,[0.85 0.325 0.098],[1349.5 184.5 1063 1122],301756.125,8783.332
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Partial,09-05-2019 02-49-24.137,24,41,[0 0.447 0.741],[1737.5 3397.5 292 422],40271.875,2022.165
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf,09-05-2019 02-49-25.589,24,44,[0.466 0.674 0.188],[1756.5 2649.5 59 43],1354.75,163.99
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf,09-05-2019 02-49-28.481,24,50,[0.466 0.674 0.188],[1908.5 2651.5 83 142],4214.375,366.861
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf,09-05-2019 02-49-29.468,24,52,[0.466 0.674 0.188],[1919.5 2765.5 114 63],1399.25,261.72
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf,09-05-2019 02-49-30.435,24,54,[0.466 0.674 0.188],[1933.5 3240.5 52 61],1187.875,169.194
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf,09-05-2019 02-49-31.408,24,56,[0.466 0.674 0.188],[1966.5 3718.5 176 69],4541,431.679
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Clump,09-05-2019 02-49-32.205,24,57,[0.85 0.325 0.098],[1979.5 4025.5 873 1043],293899.75,6288.485
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Clump,09-05-2019 02-49-34.667,24,60,[0.85 0.325 0.098],[2048.5 1255.5 1287 1925],1150776.375,13055.669
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf,09-05-2019 02-49-35.920,24,62,[0.466 0.674 0.188],[2183.5 645.5 839 673],120164.5,2549.733
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Partial,09-05-2019 02-49-36.607,24,63,[0 0.447 0.741],[2217.5 3208.5 908 518],194458.75,3500.274
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf,09-05-2019 02-49-37.677,24,65,[0.466 0.674 0.188],[2317.5 3626.5 316 616],74667.375,1602.04
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Clump,09-05-2019 02-49-39.316,24,68,[0.85 0.325 0.098],[2848.5 4237.5 568 891],133334.75,5598.58
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Partial,09-05-2019 02-49-40.308,24,70,[0 0.447 0.741],[2896.5 3910.5 146 73],2735,533.385
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Partial,09-05-2019 02-49-41.282,24,72,[0 0.447 0.741],[2929.5 3763.5 108 95],3665.125,408.682
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Clump,09-05-2019 02-49-43.335,24,76,[0.85 0.325 0.098],[3026.5 3530.5 477 436],64881.375,3309.258
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa_H,SVM,Leaf_Partial,09-05-2019 02-49-45.286,24,80,[0 0.447 0.741],[3245.5 3401.5 184 187],16367.625,788.938
