filename,predictionType,SVMprediction,time,megapixels,id,color,bbox,area,perimeter
SWMT_SWMT02153_Salicaceae_Populus_sargentii_H,SVM,Leaf,09-05-2019 02-51-48.571,24,6,[0.466 0.674 0.188],[490.5 565.5 733 762],352794.125,2898.929
SWMT_SWMT02153_Salicaceae_Populus_sargentii_H,SVM,Leaf,09-05-2019 02-51-51.275,24,11,[0.466 0.674 0.188],[721.5 2087.5 835 863],401236.875,3325.998
SWMT_SWMT02153_Salicaceae_Populus_sargentii_H,SVM,Leaf_Partial,09-05-2019 02-51-52.760,24,14,[0 0.447 0.741],[798.5 4174.5 135 259],17790.25,1206.556
SWMT_SWMT02153_Salicaceae_Populus_sargentii_H,SVM,Leaf,09-05-2019 02-51-54.226,24,17,[0.466 0.674 0.188],[882.5 4042.5 132 148],11857.625,576.891
SWMT_SWMT02153_Salicaceae_Populus_sargentii_H,SVM,Leaf,09-05-2019 02-51-57.604,24,24,[0.466 0.674 0.188],[999.5 4112.5 84 76],4098.125,252.316
SWMT_SWMT02153_Salicaceae_Populus_sargentii_H,SVM,Leaf,09-05-2019 02-52-04.376,24,38,[0.466 0.674 0.188],[1528.5 3772.5 69 109],4126.5,345.646
SWMT_SWMT02153_Salicaceae_Populus_sargentii_H,SVM,Leaf,09-05-2019 02-52-09.162,24,47,[0.466 0.674 0.188],[1610.5 758.5 834 793],381686.75,3088.626
SWMT_SWMT02153_Salicaceae_Populus_sargentii_H,SVM,Leaf,09-05-2019 02-52-16.384,24,61,[0.466 0.674 0.188],[2598.5 2751.5 784 788],389611.125,3189.262
SWMT_SWMT02153_Salicaceae_Populus_sargentii_H,SVM,Leaf_Partial,09-05-2019 02-52-16.905,24,62,[0 0.447 0.741],[2729.5 4070.5 87 154],2734.625,414.48
SWMT_SWMT02153_Salicaceae_Populus_sargentii_H,SVM,Leaf,09-05-2019 02-52-18.241,24,64,[0.466 0.674 0.188],[2884.5 1044.5 740 782],337393.25,2829.394
