filename,predictionType,SVMprediction,time,megapixels,id,color,bbox,area,perimeter
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf_Partial,09-05-2019 02-58-58.779,2.94,6,[0 0.447 0.741],[265.5 1296.5 163 114],9998,697.452
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf,09-05-2019 02-58-59.227,2.94,9,[0.466 0.674 0.188],[343.5 731.5 101 101],6011.125,323.349
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf_Partial,09-05-2019 02-58-59.838,2.94,13,[0 0.447 0.741],[486.5 1213.5 150 94],4940.375,537.291
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf_Partial,09-05-2019 02-58-59.995,2.94,14,[0 0.447 0.741],[506.5 748.5 105 144],5562,467.034
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf_Partial,09-05-2019 02-59-00.158,2.94,15,[0 0.447 0.741],[510.5 1027.5 155 89],7177.5,540.79
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf_Partial,09-05-2019 02-59-00.348,2.94,16,[0 0.447 0.741],[604.5 483.5 110 85],3861.5,391.958
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf,09-05-2019 02-59-00.797,2.94,19,[0.466 0.674 0.188],[656.5 1256.5 53 63],2214,180.878
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf_Partial,09-05-2019 02-59-00.954,2.94,20,[0 0.447 0.741],[657.5 1397.5 130 65],4550.25,415.446
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf,09-05-2019 02-59-01.550,2.94,24,[0.466 0.674 0.188],[746.5 776.5 122 147],8209.25,467.738
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf,09-05-2019 02-59-01.854,2.94,26,[0.466 0.674 0.188],[810.5 1045.5 65 59],2372.875,197.684
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf_Partial,09-05-2019 02-59-02.173,2.94,28,[0 0.447 0.741],[854.5 1161.5 219 253],25000.75,1041.809
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf,09-05-2019 02-59-02.921,2.94,33,[0.466 0.674 0.188],[960.5 848.5 114 88],5548.5,346.109
COLO_00299636_ERICACEAE_Gaultheria_humifusa,SVM,Leaf,09-05-2019 02-59-03.217,2.94,35,[0.466 0.674 0.188],[1034.5 798.5 103 73],4344.5,274.2
