filename,predictionType,SVMprediction,time,megapixels,id,color,bbox,area,perimeter
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa,SVM,Leaf_Partial,09-05-2019 02-59-35.057,2.34375,1,[0 0.447 0.741],[82.5 632.5 308 61],7148.5,808.452
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa,SVM,Leaf_Clump,09-05-2019 02-59-35.266,2.34375,2,[0.85 0.325 0.098],[112.5 640.5 453 460],48900.5,3424.712
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa,SVM,Leaf_Clump,09-05-2019 02-59-35.656,2.34375,3,[0.85 0.325 0.098],[148.5 61.5 893 908],172293.875,8325.67
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa,SVM,Leaf_Partial,09-05-2019 02-59-35.831,2.34375,4,[0 0.447 0.741],[160.5 1016.5 263 150],18467.75,902.074
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa,SVM,Leaf_Partial,09-05-2019 02-59-36.147,2.34375,6,[0 0.447 0.741],[228.5 362.5 187 106],7975.375,665.123
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa,SVM,Leaf_Partial,09-05-2019 02-59-36.500,2.34375,8,[0 0.447 0.741],[312.5 412.5 149 220],14613,1100.261
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa,SVM,Leaf_Partial,09-05-2019 02-59-37.706,2.34375,16,[0 0.447 0.741],[640.5 1261.5 246 306],26811.625,1392.512
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa,SVM,Leaf_Partial,09-05-2019 02-59-38.051,2.34375,18,[0 0.447 0.741],[696.5 1004.5 278 315],23593.375,1366.186
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa,SVM,Leaf_Partial,09-05-2019 02-59-38.384,2.34375,20,[0 0.447 0.741],[896.5 1326.5 169 222],8697.375,1271.414
SWMT_SWMT01849_Cannabaceae_Cannabis_sativa,SVM,Leaf_Partial,09-05-2019 02-59-38.999,2.34375,24,[0 0.447 0.741],[949.5 1107.5 76 116],3674.625,456.641
