coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
372735,https://botanydb.colorado.edu/COLO_V/02089/02089597.jpg,https://botanydb.colorado.edu/COLO_V/02089/02089597.jpg,https://botanydb.colorado.edu/COLO_V/02089/02089597_tn.jpg,https://botanydb.colorado.edu/COLO_V/02089/02089597.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:d0cbf5dd-f06e-4fcd-9b77-bc47d7940238,9/11/2017 16:47,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=372735,StillImage,Photograph,en
365996,https://botanydb.colorado.edu/COLO_V/01894/01894963.jpg,https://botanydb.colorado.edu/COLO_V/01894/01894963.jpg,https://botanydb.colorado.edu/COLO_V/01894/01894963_tn.jpg,https://botanydb.colorado.edu/COLO_V/01894/01894963.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:624da07c-1db1-499e-86a4-80f9d16b3133,8/30/2017 15:33,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=365996,StillImage,Photograph,en
93464,https://botanydb.colorado.edu/COLO_V/01820/01820604.jpg,https://botanydb.colorado.edu/COLO_V/01820/01820604.jpg,https://botanydb.colorado.edu/COLO_V/01820/01820604_tn.jpg,https://botanydb.colorado.edu/COLO_V/01820/01820604.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:d91989a0-747d-459e-b5ac-7975f0785ce2,11/17/2016 12:55,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=93464,StillImage,Photograph,en
126421,https://botanydb.colorado.edu/COLO_V/01612/01612688.jpg,https://botanydb.colorado.edu/COLO_V/01612/01612688.jpg,https://botanydb.colorado.edu/COLO_V/01612/01612688_tn.jpg,https://botanydb.colorado.edu/COLO_V/01612/01612688.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:1937c9fc-f964-4fe8-bc6d-4bd9ddd3029d,7/27/2016 12:11,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=126421,StillImage,Photograph,en
220764,https://botanydb.colorado.edu/COLO_V/01142/01142983.jpg,https://botanydb.colorado.edu/COLO_V/01142/01142983.jpg,https://botanydb.colorado.edu/COLO_V/01142/01142983_tn.jpg,https://botanydb.colorado.edu/COLO_V/01142/01142983.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:2ecf9fe7-235f-46f8-89e8-714035766324,7/18/2016 14:13,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=220764,StillImage,Photograph,en
220742,https://botanydb.colorado.edu/COLO_V/01142/01142751.jpg,https://botanydb.colorado.edu/COLO_V/01142/01142751.jpg,https://botanydb.colorado.edu/COLO_V/01142/01142751_tn.jpg,https://botanydb.colorado.edu/COLO_V/01142/01142751.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:1058454d-4a80-48c0-b047-b68ebdf5a42d,7/18/2016 14:14,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=220742,StillImage,Photograph,en
218875,https://botanydb.colorado.edu/COLO_V/01014/01014810.jpg,https://botanydb.colorado.edu/COLO_V/01014/01014810.jpg,https://botanydb.colorado.edu/COLO_V/01014/01014810_tn.jpg,https://botanydb.colorado.edu/COLO_V/01014/01014810.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:ea50b693-d12b-462a-a8e1-fca272904d8b,7/18/2016 13:50,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=218875,StillImage,Photograph,en
218768,https://botanydb.colorado.edu/COLO_V/01013/01013739.jpg,https://botanydb.colorado.edu/COLO_V/01013/01013739.jpg,https://botanydb.colorado.edu/COLO_V/01013/01013739_tn.jpg,https://botanydb.colorado.edu/COLO_V/01013/01013739.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:9f7f87bd-793b-4561-9729-77dbfa8e1af9,7/18/2016 13:51,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=218768,StillImage,Photograph,en
218696,https://botanydb.colorado.edu/COLO_V/01013/01013002.jpg,https://botanydb.colorado.edu/COLO_V/01013/01013002.jpg,https://botanydb.colorado.edu/COLO_V/01013/01013002_tn.jpg,https://botanydb.colorado.edu/COLO_V/01013/01013002.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:a78eefad-9f09-4a03-adc8-2ee409791e9c,7/18/2016 13:43,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=218696,StillImage,Photograph,en
217754,https://botanydb.colorado.edu/COLO_V/01003/01003359.jpg,https://botanydb.colorado.edu/COLO_V/01003/01003359.jpg,https://botanydb.colorado.edu/COLO_V/01003/01003359_tn.jpg,https://botanydb.colorado.edu/COLO_V/01003/01003359.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:21cc504f-22c6-4f18-a6fc-629449e4d6d5,7/18/2016 13:49,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=217754,StillImage,Photograph,en
46594,https://botanydb.colorado.edu/COLO_V/00654/00654012.jpg,https://botanydb.colorado.edu/COLO_V/00654/00654012.jpg,https://botanydb.colorado.edu/COLO_V/00654/00654012_tn.jpg,https://botanydb.colorado.edu/COLO_V/00654/00654012.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:9ef77fa0-6e7e-469d-bb6a-666759b76e2c,1/4/2017 12:26,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=46594,StillImage,Photograph,en
66464,https://botanydb.colorado.edu/COLO_V/00301/00301028.jpg,https://botanydb.colorado.edu/COLO_V/00301/00301028.jpg,https://botanydb.colorado.edu/COLO_V/00301/00301028_tn.jpg,https://botanydb.colorado.edu/COLO_V/00301/00301028.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:f85bee9e-969a-4f78-a5b0-ae1d442d3f1a,12/21/2016 12:40,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=66464,StillImage,Photograph,en
66393,https://botanydb.colorado.edu/COLO_V/00300/00300277.jpg,https://botanydb.colorado.edu/COLO_V/00300/00300277.jpg,https://botanydb.colorado.edu/COLO_V/00300/00300277_tn.jpg,https://botanydb.colorado.edu/COLO_V/00300/00300277.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:fce38d99-3c0f-4ef4-bd8b-959d48af962c,12/21/2016 12:43,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=66393,StillImage,Photograph,en
66329,https://botanydb.colorado.edu/COLO_V/00299/00299636.jpg,https://botanydb.colorado.edu/COLO_V/00299/00299636.jpg,https://botanydb.colorado.edu/COLO_V/00299/00299636_tn.jpg,https://botanydb.colorado.edu/COLO_V/00299/00299636.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:4e73ddec-0b23-43b3-9354-104fc8fe6d81,12/21/2016 12:37,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=66329,StillImage,Photograph,en
356259,https://botanydb.colorado.edu/COLO_V/01827/01827856.jpg,https://botanydb.colorado.edu/COLO_V/01827/01827856.jpg,https://botanydb.colorado.edu/COLO_V/01827/01827856_tn.jpg,https://botanydb.colorado.edu/COLO_V/01827/01827856.jpg,,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V),CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc-sa/3.0/,,,urn:uuid:b8d6ff97-d2a8-472e-af80-d8f0367eb850,8/9/2017 15:18,image/jpeg,https://botanydb.colorado.edu:443/collections/individual/index.php?occid=356259,StillImage,Photograph,en
13293670,https://bisque.cyverse.org/image_service/image/00-aUzcaToneC4ipQZcDLhs6J?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-aUzcaToneC4ipQZcDLhs6J?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-aUzcaToneC4ipQZcDLhs6J?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-aUzcaToneC4ipQZcDLhs6J?resize=1250&format=jpeg,,Rhodes College Herbarium (SWMT),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:3335983a-256f-4c4e-98aa-339668f45ced,5/9/2017 14:25,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=13293670,StillImage,Photograph,en
13301531,https://bisque.cyverse.org/image_service/image/00-Xe59Kmmw7Qyqh59VmMuHsf?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-Xe59Kmmw7Qyqh59VmMuHsf?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-Xe59Kmmw7Qyqh59VmMuHsf?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-Xe59Kmmw7Qyqh59VmMuHsf?resize=1250&format=jpeg,,Rhodes College Herbarium (SWMT),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:7bd84870-3d53-4084-a9ed-55c451ef680e,5/9/2017 14:25,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=13301531,StillImage,Photograph,en
13318694,https://bisque.cyverse.org/image_service/image/00-ouBtfBdSxCPwZs3M9hSxYi?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-ouBtfBdSxCPwZs3M9hSxYi?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-ouBtfBdSxCPwZs3M9hSxYi?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-ouBtfBdSxCPwZs3M9hSxYi?resize=1250&format=jpeg,,Rhodes College Herbarium (SWMT),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:7ca7e1a7-6ea1-4e82-8bca-dc7c25d1614c,5/9/2017 14:25,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=13318694,StillImage,Photograph,en
13318683,https://bisque.cyverse.org/image_service/image/00-bwPFpzJHGzvr69iGdbwuWe?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-bwPFpzJHGzvr69iGdbwuWe?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-bwPFpzJHGzvr69iGdbwuWe?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-bwPFpzJHGzvr69iGdbwuWe?resize=1250&format=jpeg,,Rhodes College Herbarium (SWMT),CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:fabb5966-774d-4fdd-8c33-f2625aa04bf5,5/9/2017 14:25,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=13318683,StillImage,Photograph,en
